关键词,编码,品目名称,保留
房屋和构筑物,A01000000,房屋和构筑物,True
办公室,B06060000,通风和空调设备安装,True
服务用房,A01010100,办公用房,True
设备用房,A01010100,办公用房,True
附属用房等办公用房,A01010100,办公用房,True
业务用房,A01010200,业务用房,True
警察业务用房,A01010201,警察业务用房,True
安全等业务工作用房,A01010201,警察业务用房,True
检察业务用房,A01010202,检察业务用房,True
司法业务用房,A01010203,司法业务用房,True
法院业务用房,A01010204,法院业务用房,True
纪委监委业务用房,A01010205,纪委监委业务用房,True
税务业务用房,A01010206,税务业务用房,True
审计业务用房,A01010207,审计业务用房,True
海关业务用房,A01010208,海关业务用房,True
水利业务用房,A01010209,水利业务用房,True
水文监测,A01010209,水利业务用房,True
防汛抗旱测报值守等业务工作用房,A01010209,水利业务用房,True
应急救援业务用房,A01010210,应急救援业务用房,True
消防用房,A01010210,应急救援业务用房,True
教育用房,A01010211,教育用房,True
大专院校,A01010211,教育用房,True
中等专业学校,A01010211,教育用房,True
幼儿园,A01010211,教育用房,True
托儿所,A01010211,教育用房,True
职业学校,A01010211,教育用房,True
业余学校,A01010211,教育用房,True
其他教育服务,C02990000,其他教育服务,True
进修院校,A01010211,教育用房,True
工读学校,A01010211,教育用房,True
电视大学等从事教育所用的房屋,A01010211,教育用房,True
医疗卫生用房,A01010212,医疗卫生用房,True
各类医院,A01010212,医疗卫生用房,True
门诊部,C04030000,门诊服务,True
卫生所（站）,A01010212,医疗卫生用房,True
检（防)疫站,A01010212,医疗卫生用房,True
保健院（站）,A01010212,医疗卫生用房,True
疗养院,A01010212,医疗卫生用房,True
医学化验,A01010212,医疗卫生用房,True
药品检验等医疗卫生机构从事医疗,A01010212,医疗卫生用房,True
其他体育服务,C06049900,其他体育服务,True
灾后管理服务,C05030400,灾后管理服务,True
体系认证服务,C20010300,体系认证服务,True
医疗垃圾暂存所用的房屋,A01010212,医疗卫生用房,True
科研用房,A01010213,科研用房,True
从事自然科学,A01010213,科研用房,True
社会科学等研究设计,A01010213,科研用房,True
开发所用的房屋,A01010213,科研用房,True
文化用房,A01010214,文化用房,True
文化馆,A01010214,文化用房,True
图书馆,C24100000,公共文化类合作服务,True
展览馆,A01010214,文化用房,True
博物馆,C24100000,公共文化类合作服务,True
纪念馆等从事文化活动所用的房屋,A01010214,文化用房,True
新闻用房,A01010215,新闻用房,True
广播电视台,A01010215,新闻用房,True
出版社,A01010215,新闻用房,True
杂志社,A01010215,新闻用房,True
通讯社,A01010215,新闻用房,True
记者站等从事新闻出版所用的房屋,A01010215,新闻用房,True
娱乐用房,A01010216,娱乐用房,True
影剧院,A01010216,娱乐用房,True
游乐场,A01010216,娱乐用房,True
俱乐部,A01010216,娱乐用房,True
剧团等从事文娱演出所用的房屋,A01010216,娱乐用房,True
园林绿化用房,A01010217,园林绿化用房,True
公园、景区及旅游类合作服务,C24040000,公园、景区及旅游类合作服务,True
动物园,A01010217,园林绿化用房,True
植物园,A01010217,园林绿化用房,True
风景名胜,C24040000,公园、景区及旅游类合作服务,True
防护林等所用的房屋,A01010217,园林绿化用房,True
