关键词,编码,品目名称,保留
体育用房,A01010218,体育用房,True
体育场,A01010218,体育用房,True
游泳馆等从事体育所用的房屋,A01010218,体育用房,True
工业生产用房,A01010219,工业生产用房,True
独立设置的各类工厂,A01010219,工业生产用房,True
手工作坊,A01010219,工业生产用房,True
发电厂等从事生产活动的房屋,A01010219,工业生产用房,True
市政公用设施用房,A01010220,市政公用设施用房,True
自来水,A01010220,市政公用设施用房,True
污水处理,C24010000,公共设施类合作服务,True
公共设施类合作服务,C24010000,公共设施类合作服务,True
垃圾处理,C24010000,公共设施类合作服务,True
消防等市政公用设施的房屋,A01010220,市政公用设施用房,True
铁路用房,A01010221,铁路用房,True
铁路系统从事铁路运输的房屋,A01010221,铁路用房,True
民航用房,A01010222,民航用房,True
民航系统从事民航运输的房屋,A01010222,民航用房,True
航运用房,A01010223,航运用房,True
航运系统从事水路运输的房屋,A01010223,航运用房,True
城市客运用房,A01010224,城市客运用房,True
城市公交运输,A01010224,城市客运用房,True
城市轨道交通,C24020000,交通设施类合作服务,True
公共交通系统中从事城市客运的房屋,A01010224,城市客运用房,True
公路运输用房,A01010225,公路运输用房,True
公路运输系统从事客,A01010225,公路运输用房,True
货运输,A01010225,公路运输用房,True
搬运的房屋,A01010225,公路运输用房,True
仓储用房,A01010226,仓储用房,True
用于储备,A01010226,仓储用房,True
供应等各种仓库,A01010226,仓储用房,True
油库用房,A01010226,仓储用房,True
发行库用房,A01010227,发行库用房,True
人民银行系统发行库,A01010227,发行库用房,True
库务用房,A01010227,发行库用房,True
钞票处理中心用房,A01010227,发行库用房,True
武警用房,A01010227,发行库用房,True
守卫押运中心用房,A01010227,发行库用房,True
发行库安全保卫监控（指挥）中心用房,A01010227,发行库用房,True
商业金融用房,A01010228,商业金融用房,True
门市部,A01010228,商业金融用房,True
招待所,A01010228,商业金融用房,True
储蓄所等从事商业,A01010228,商业金融用房,True
金融服务的房屋,A01010228,商业金融用房,True
电讯信息用房,A01010229,电讯信息用房,True
电讯部门,A01010229,电讯信息用房,True
信息产业部门，从事电讯与信息工作所用的房屋,A01010229,电讯信息用房,True
监狱用房,A01010230,监狱用房,True
看守所,A01010230,监狱用房,True
改造场（所）等所用的房屋,A01010230,监狱用房,True
涉外用房,A01010231,涉外用房,True
国际组织驻华使领馆,A01010231,涉外用房,True
办事处等涉外所用的房屋,A01010231,涉外用房,True
境外办公用房,A01010231,涉外用房,True
其他业务用房,A01010299,其他业务用房,True
宗教用房,A01010300,宗教用房,True
教堂等从事宗教活动所用的房屋,A01010300,宗教用房,True
中国人民解放军,A01010400,军事用房,True
中国人民武装警察部队军事机关,A01010400,军事用房,True
军事用房,A01010400,军事用房,True
交通设施类合作服务,C24020000,交通设施类合作服务,True
学校等所用的房屋,A01010400,军事用房,True
保障性住房,A01010500,住宅,True
境外住宅,A01010500,住宅,True
由若干卧室,A01010500,住宅,True
起居室,A01010500,住宅,True
卫生间,A01010500,住宅,True
室内运道,A01010500,住宅,True
客厅等组成的供一户使用的成套住宅,A01010500,住宅,True
供居住的非成套住宅,A01010500,住宅,True
供机关,A01010500,住宅,True
企事业单位的单身职工,A01010500,住宅,True
学生居住的集体宿舍等房屋,A01010500,住宅,True
其他房屋,A01019900,其他房屋,True
构筑物,C23170000,摄影服务,True
工业生产用池,A01020100,池、罐,True
罐，灌溉用池，水生动物饲养池，观赏鱼池,A01020100,池、罐,True
花池，沼气发生池，水利用池,A01020100,池、罐,True
工业生产用槽,A01020200,槽,True
农业用槽,A01020200,槽,True
科研用槽,A01020200,槽,True
工业用塔，农业用塔，广播电视用塔，交通航空用塔，气象,A01020300,塔,True
建筑物构架工程,B05020000,建筑物构架工程,True
环保用塔,A01020300,塔,True
高耸构筑物工程总承包服务,C11051800,高耸构筑物工程总承包服务,True
地热水井,A01020500,井,True
科研用井,A01020500,井,True
原料坑,A01020600,坑,True
铸铁块坑,A01020600,坑,True
铸锭坑,A01020600,坑,True
修罐包坑,A01020600,坑,True
机车灰坑,A01020600,坑,True
机车检查坑,A01020600,坑,True
旅客站台，货物站台，平台，转运站，煤台，上油台，料台，渣台，检查收费站，城市轨道交通车站，候车亭，雷达站,A01020700,台、站,True
直立式码头,A01020800,码头,True
栈桥式码头,A01020800,码头,True
斜坡式码头,A01020800,码头,True
浮式码头,A01020800,码头,True
简易式码头,A01020800,码头,True
高速公路,C24020000,交通设施类合作服务,True
四级公路,A01020900,道路,True
等外公路，城市道路，城市轨道交通正线,A01020900,道路,True
城市轨道交通配线,A01020900,道路,True
城市轨道交通车场线，生产用道路，内部道路，铁路正线，铁路站线，铁路段管线，铁路岔线，铁路专用线，特别用途线，铁路道岔，巷道，渠道，坑道，飞机滑行道，飞机跑道，飞机停机坪,A01020900,道路,True
铁路隧道，城市轨道交通线路,A01021000,隧道,True
城市轨道交通道岔，公路隧道，电缆隧道，排灌隧道,A01021000,隧道,True
围厂河沟,A01021100,沟,True
盐场引潮沟,A01021100,沟,True
盐场排淡沟,A01021100,沟,True
盐场落卤沟,A01021100,沟,True
盐场运盐沟,A01021100,沟,True
铁路涵洞，公路涵洞，防空洞，隧洞，水工涵洞，放水洞，科学观测,A01021200,洞,True
监测洞体,A01021200,洞,True
公路桥梁，铁路桥梁，公路,A01021400,桥梁、架,True
铁路两用桥梁，市内立交桥，城市轨道交通桥梁，露天栈桥，吊车栈桥，洗涤塔支架，通道支架，落罐架，露天框架，凉水架，混凝土支架,A01021400,桥梁、架,True
包含内河航道,A01021500,航道,True
沿海航道,A01021500,航道,True
水电站大坝，水库，堤坝，防洪堤，防波堤，尾矿坝，护坡，流量堰，溢,A01021600,坝、堰及水道,True
泄洪道，塘,A01021600,坝、堰及水道,True
节制闸,A01021700,闸,True
进水闸,A01021700,闸,True
排水闸,A01021700,闸,True
分洪闸,A01021700,闸,True
挡潮闸,A01021700,闸,True
冲沙闸,A01021700,闸,True
引水管道,A01021800,水利管道,True
排水管道,A01021900,市政管道,True
尾水管道,A01021800,水利管道,True
节水管道,A01021800,水利管道,True
倒吸虹,A01021800,水利管道,True
采暖管道,A01021900,市政管道,True
天然气管道,A01021900,市政管道,True
电力管道,A01021900,市政管道,True
通信管道,A01021900,市政管道,True
给水管道,A01021900,市政管道,True
飞机库,A01022000,库,True
汽车库,A01022000,库,True
平房仓,A01022100,仓,True
立筒仓,A01022100,仓,True
浅圆仓,A01022100,仓,True
砖圆仓,A01022100,仓,True
地下仓,A01022100,仓,True
楼房仓,A01022100,仓,True
简易仓,A01022100,仓,True
露天原料场，废渣场，停车场（含立体停车场），晾晒场，露天体育场,A01022200,场,True
训练场，雨量场,A01022200,场,True
其他构筑物,A01029900,其他构筑物,True
房地产土地评估服务,C20020900,房地产土地评估服务,True
境外土地,A01030100,境外土地,True
其他土地,A01039900,其他土地,True
医用超声波仪器及设备,A02320500,医用超声波仪器及设备,True
信息化设备,A02010000,信息化设备,True
计算机,C23140700,家用电器和电子产品专门零售服务,True
巨型计算机,A02010101,巨型计算机,True
大型计算机,A02010102,大型计算机,True
中型计算机,A02010103,中型计算机,True
服务器,A02010104,服务器,True
台式计算机,A02010105,台式计算机,True
移动工作站,A02010106,移动工作站,True
图形工作站,A02010107,图形工作站,True
便携式计算机,A02010108,便携式计算机,True
平板式计算机,A02010109,平板式计算机,True
其他计算机,A02010199,其他计算机,True
网络设备,A02010200,网络设备,True
路由器,A02010201,路由器,True
交换设备,A02010202,交换设备,True
以太网交换机,A02010202,交换设备,True
集线器,A02010203,集线器,True
光端机,A02010204,光端机,True
终端接入设备,A02010205,终端接入设备,True
通信(控制)处理机,A02010206,通信(控制)处理机,True
通信控制器,A02010207,通信控制器,True
集中器,A02010208,集中器,True
终端控制器,A02010209,终端控制器,True
集群控制器,A02010210,集群控制器,True
多站询问单位,A02010211,多站询问单位,True
网络接口,A02010212,网络接口,True
通信适配器,A02010213,通信适配器,True
多协议通信适配器,A02010213,通信适配器,True
接口适配器,A02010214,接口适配器,True
测试评估认证服务,C16060000,测试评估认证服务,True
设备接口适配器,A02010214,接口适配器,True
光纤转换器,A02010215,光纤转换器,True
网络收发器,A02010216,网络收发器,True
网络转发器,A02010217,网络转发器,True
网络分配器,A02010218,网络分配器,True
协议分析器,A02010221,协议分析器,True
协议测试设备,A02010222,协议测试设备,True
差错检测设备,A02010223,差错检测设备,True
负载均衡设备,A02010224,负载均衡设备,True
其他网络设备,A02010299,其他网络设备,True
信息安全设备,A02010300,信息安全设备,True
防火墙,A02010301,防火墙,True
入侵检测设备,A02010302,入侵检测设备,True
入侵防御设备,A02010303,入侵防御设备,True
漏洞扫描设备,A02010304,漏洞扫描设备,True
容灾备份设备,A02010305,容灾备份设备,True
网络隔离设备,A02010306,网络隔离设备,True
安全审计设备,A02010307,安全审计设备,True
安全路由器,A02010308,安全路由器,True
计算机终端安全设备,A02010309,计算机终端安全设备,True
加密狗,A02010309,计算机终端安全设备,True
U 盾,A02010309,计算机终端安全设备,True
网上行为管理设备,A02010311,网上行为管理设备,True
密码产品,A02010312,密码产品,True
虚拟专用网（VPN）设备,A02010313,虚拟专用网（VPN）设备,True
其他信息安全设备,A02010399,其他信息安全设备,True
终端设备,A02010400,终端设备,True
触摸式终端设备,A02010401,触摸式终端设备,True
终端机,A02010402,终端机,True
自助终端机,A02010402,终端机,True
其他终端设备,A02010499,其他终端设备,True
存储设备,A02010500,存储设备,True
磁盘机,A02010501,磁盘机,True
磁盘阵列,A02010502,磁盘阵列,True
存储用光纤交换机,A02010503,存储用光纤交换机,True
光盘库,A02010504,光盘库,True
磁带机,A02010505,磁带机,True
磁带库,A02010506,磁带库,True
网络存储设备,A02010507,网络存储设备,True
移动存储设备,A02010508,移动存储设备,True
闪存盘（优盘）,A02010508,移动存储设备,True
移动硬盘,A02010508,移动存储设备,True
其他存储设备,A02010599,其他存储设备,True
机房辅助设备,A02010600,机房辅助设备,True
机房环境监控设备,A02010602,机房环境监控设备,True
其他机房辅助设备,A02010699,其他机房辅助设备,True
信息化设备零部件,A02010700,信息化设备零部件,True
其他信息化设备,A02019900,其他信息化设备,True
办公设备,A02020000,办公设备,True
复印机,A02020100,复印机,True
用于测量,A02020200,投影仪,True
测绘等专用投影仪除外,A02020200,投影仪,True
投影幕,A02020300,投影幕,True
具有多种办公功能的设备入此，例如带有打印功能的复印机,A02020400,多功能一体机,True
照相机及器材,A02020500,照相机及器材,True
数字照相机,A02020501,数字照相机,True
单反数码相机,A02020501,数字照相机,True
卡片数码相机,A02020501,数字照相机,True
通用照相机,A02020502,通用照相机,True
便携式照相机,A02020502,通用照相机,True
胶片照相机,A02020502,通用照相机,True
盘片照相机,A02020502,通用照相机,True
一次性(玩具)照相机座式照相机,A02020502,通用照相机,True
静态视频照相机,A02020503,静态视频照相机,True
专用照相机,A02020504,专用照相机,True
水下照相机,A02020504,专用照相机,True
航空照相机,A02020504,专用照相机,True
警用照相机,A02020504,专用照相机,True
特殊照相机,A02020505,特殊照相机,True
高速照相机,A02020505,特殊照相机,True
遥控照相机,A02020505,特殊照相机,True
夜视照相机,A02020505,特殊照相机,True
镜头及器材,A02020506,镜头及器材,True
其他照相机及器材,A02020599,其他照相机及器材,True
执法记录仪,A02020600,执法记录仪,True
电子白板,A02020700,电子白板,True
室内型,A02020800,触控一体机,True
户外型触摸屏/互动屏,A02020800,触控一体机,True
刻录机,A02020900,刻录机,True
打印机,A02021000,打印机,True
A3黑白打印机,A02021001,A3黑白打印机,True
A3彩色打印机,A02021002,A3彩色打印机,True
A4黑白打印机,A02021003,A4黑白打印机,True
A4彩色打印机,A02021004,A4彩色打印机,True
3D打印机,A02021005,3D打印机,True
票据打印机,A02021006,票据打印机,True
条码打印机,A02021007,条码打印机,True
热敏型条码打印机,A02021007,条码打印机,True
热转印型条码打印机,A02021007,条码打印机,True
地址打印机,A02021008,地址打印机,True
其他打印机,A02021099,其他打印机,True
输入输出设备,A02021100,输入输出设备,True
绘图设备,A02021101,绘图设备,True
光电设备,A02021102,光电设备,True
LED显示屏,A02021103,LED显示屏,True
液晶显示器,A02021104,液晶显示器,True
阴极射线管显示器,A02021105,阴极射线管显示器,True
等离子显示器,A02021106,等离子显示器,True
KVM 设备,A02021107,KVM 设备,True
综合输入设备,A02021108,综合输入设备,True
鼠标器,A02021110,鼠标器,True
控制杆,A02021111,控制杆,True
刷卡机,A02021112,刷卡机,True
考勤机,A02021112,刷卡机,True
POS机,A02021112,刷卡机,True
纸带输入机,A02021113,纸带输入机,True
磁卡读写器,A02021114,磁卡读写器,True
集成电路(IC)卡读写器,A02021115,集成电路(IC)卡读写器,True
非接触式智能卡读写机,A02021116,非接触式智能卡读写机,True
身份证阅读机,A02021116,非接触式智能卡读写机,True
一卡通读写器,A02021116,非接触式智能卡读写机,True
触摸屏,A02021117,触摸屏,True
扫描仪,A02021118,扫描仪,True
条码扫描器,A02021119,条码扫描器,True
手持式条码扫描器,A02021119,条码扫描器,True
小滚筒式条码扫描器,A02021119,条码扫描器,True
平台式条码扫描器,A02021119,条码扫描器,True
高拍仪,A02021120,高拍仪,True
图形板,A02021121,图形板,True
坐标数字化仪,A02021123,坐标数字化仪,True
语音输入设备,A02021124,语音输入设备,True
语音识别器,A02021124,语音输入设备,True
手写式输入设备,A02021125,手写式输入设备,True
手写笔,A02021125,手写式输入设备,True
数据录入设备,A02021126,数据录入设备,True
数据采集器,A02021126,数据录入设备,True
其他输入输出设备,A02021199,其他输入输出设备,True
文印设备,A02021200,文印设备,True
速印机,A02021201,速印机,True
胶印机,A02021202,胶印机,True
装订机,A02021203,装订机,True
配页机,A02021204,配页机,True
折页机,A02021205,折页机,True
油印机,A02021206,油印机,True
蜡纸油印机,A02021206,油印机,True
其他文印设备,A02021299,其他文印设备,True
销毁设备,A02021300,销毁设备,True
碎纸机,A02021301,碎纸机,True
光盘粉碎机,A02021302,光盘粉碎机,True
硬盘粉碎机,A02021303,硬盘粉碎机,True
芯片粉碎机,A02021304,芯片粉碎机,True
综合销毁设备,A02021305,综合销毁设备,True
其他销毁设备,A02021399,其他销毁设备,True
会计机械,A02021400,会计机械,True
计算器,A02021401,计算器,True
简易型计算器,A02021401,计算器,True
函数型计算器,A02021401,计算器,True
可编程序计算器,A02021401,计算器,True
其他会计机械,A02021499,其他会计机械,True
绘图机,A02021500,制图机械,True
制图机,A02021500,制图机械,True
晒图机,A02021500,制图机械,True
自动打字机,A02021600,打字机,True
字处理机,A02021600,打字机,True
电动打字机,A02021600,打字机,True
非电动打字机,A02021600,打字机,True
办公设备零部件,A02021700,办公设备零部件,True
其他办公设备,A02029900,其他办公设备,True
自卸汽车,A02030100,载货汽车,True
牵引汽车,A02030200,牵引汽车,True
半挂牵引汽车,A02030201,半挂牵引汽车,True
全挂牵引汽车,A02030202,全挂牵引汽车,True
特种牵引车,A02030203,特种牵引车,True
其他牵引汽车,A02030299,其他牵引汽车,True
汽车挂车,C23120302,车辆加油、添加燃料服务,True
汽车列车,A02030400,汽车列车,True
乘用车,C23110300,车辆及其他运输机械租赁服务,True
越野车,A02030502,越野车,True
小型客车,A02030503,小型客车,True
车长小于6000mm且乘坐人数小于,A02030503,小型客车,True
等于9人的载客汽车,A02030503,小型客车,True
中型客车,A02030504,中型客车,True
车长小于6000mm且乘坐人数为10~19人的载客汽车,A02030504,中型客车,True
大型客车,A02030505,大型客车,True
车长大于,A02030505,大型客车,True
等于6000mm,A02030505,大型客车,True
乘坐人数大于,A02030505,大型客车,True
等于20人的载客汽车,A02030505,大型客车,True
其他乘用车,A02030599,其他乘用车,True
专用车辆,A02030600,专用车辆,True
厢式专用汽车,A02030601,厢式专用汽车,True
罐式专用汽车,A02030602,罐式专用汽车,True
多用途货车,A02030603,多用途货车,True
皮卡车归入此类,A02030603,多用途货车,True
集装箱运输车,A02030604,集装箱运输车,True
科学考察车,A02030605,科学考察车,True
工程作业车,A02030606,工程作业车,True
雪地专用车,A02030607,雪地专用车,True
雪地车,A02030607,雪地专用车,True
雪地拖拉机,A02030607,雪地专用车,True
雪地摩托车,A02030607,雪地专用车,True
雪上运动设备,A02461100,雪上运动设备,True
消防车,A02030609,消防车,True
灭火消防车,A02030609,消防车,True
举高消防车,A02030609,消防车,True
专勤消防车,A02030609,消防车,True
战勤保障消防车,A02030609,消防车,True
机场消防车,A02030609,消防车,True
防爆消防车,A02030609,消防车,True
轨道消防车,A02030609,消防车,True
消防摩托车,A02030609,消防车,True
警用大,A02030610,警车,True
专用型汽车,A02030610,警车,True
两轮摩托车,A02030701,两轮摩托车,True
边三轮摩托,A02030610,警车,True
布障车,A02030611,布障车,True
清障车,A02030612,清障车,True
排爆车,A02030613,排爆车,True
装甲防暴车,A02030614,装甲防暴车,True
水炮车,A02030615,水炮车,True
攀登车,A02030616,攀登车,True
全地形车,A02030617,全地形车,True
通信指挥车,A02030618,通信指挥车,True
交通划线车,A02030619,交通划线车,True
防弹车,A02030620,防弹车,True
医疗车,A02030621,医疗车,True
救护车,A02030621,医疗车,True
通信专用车,A02030622,通信专用车,True
电视卫星转播车,A02030622,通信专用车,True
抢险车,A02030623,抢险车,True
防汛应急抢险检测车,A02030623,抢险车,True
防汛抢险桥测车,A02030623,抢险车,True
殡仪车,A02030624,殡仪车,True
运钞专用车,A02030625,运钞专用车,True
运钞车,A02030625,运钞专用车,True
运钞护卫车,A02030625,运钞专用车,True
机动起重车,A02030626,机动起重车,True
汽车起重机,A02210300,工程起重机械,True
垃圾车,A02030627,垃圾车,True
洒水车,A02030628,洒水车,True
街道清洗清扫车,A02030629,街道清洗清扫车,True
除冰车,A02030630,除冰车,True
扫雪车,A02030631,扫雪车,True
冷藏车,C15020200,道路货运服务,True
炊事车,A02030633,炊事车,True
公共汽车,A02030634,公共汽车,True
有轨电车,A02030635,有轨电车,True
轨道交通车辆,A02030636,轨道交通车辆,True
城铁客车,A02030636,轨道交通车辆,True
其他专用车辆,A02030699,其他专用车辆,True
摩托车,C23140600,汽车、摩托车、燃料和零配件专门零售服务,True
三轮摩托车,A02030702,三轮摩托车,True
正三轮摩托车,A02030702,三轮摩托车,True
边三轮摩托车,A02030702,三轮摩托车,True
其他摩托车,A02030799,其他摩托车,True
电动车辆,A02030800,电动车辆,True
电动两轮车,A02030801,电动两轮车,True
电动三轮车,A02030802,电动三轮车,True
电动多轮车,A02030803,电动多轮车,True
电动巡逻车,A02030803,电动多轮车,True
景区观光车,A02030803,电动多轮车,True
其他电动车辆,A02030899,其他电动车辆,True
轮椅车,A02030900,轮椅车,True
机动轮椅车（残疾人摩托车）,A02030901,机动轮椅车（残疾人摩托车）,True
电动轮椅车（道路型）,A02030902,电动轮椅车（道路型）,True
其他轮椅车,A02030999,其他轮椅车,True
非机动车辆,A02031000,非机动车辆,True
人力车,A02031001,人力车,True
脚踏车,A02031001,人力车,True
助力脚踏车,A02031001,人力车,True
手推车,A02031001,人力车,True
畜力车,A02031002,畜力车,True
其他非机动车辆,A02031099,其他非机动车辆,True
车辆附属设施及零部件,A02031100,车辆附属设施及零部件,True
其他车辆,A02039900,其他车辆,True
图书档案设备,A02040000,图书档案设备,True
缩微设备,A02040100,缩微设备,True
缩微摄影机,A02040101,缩微摄影机,True
冲洗机,A02040102,冲洗机,True
拷贝机,A02040103,拷贝机,True
阅读器,A02040104,阅读器,True
阅读复印机,A02040105,阅读复印机,True
放大复印机,A02040106,放大复印机,True
感光纸放大复印机,A02040106,放大复印机,True
普通纸放大复印机,A02040106,放大复印机,True
胶片装片机,A02040107,胶片装片机,True
普通缩微胶片装片机,A02040107,胶片装片机,True
缩微胶片阅读装片机,A02040107,胶片装片机,True
缩微品检索设备,A02040108,缩微品检索设备,True
卷式缩微品检索设备,A02040108,缩微品检索设备,True
片式缩微品检索设备,A02040108,缩微品检索设备,True
胶片剪接设备,A02040109,胶片剪接设备,True
胶片洁片设备,A02040110,胶片洁片设备,True
缩微胶片扫描仪,A02040111,缩微胶片扫描仪,True
其他缩微设备,A02040199,其他缩微设备,True
图书档案消毒设备,A02040200,图书档案消毒设备,True
物理方法消毒设备,A02040201,物理方法消毒设备,True
化学方法消毒设备,A02040202,化学方法消毒设备,True
其他图书档案消毒设备,A02040299,其他图书档案消毒设备,True
脱酸机等图书档案保护,A02040300,图书档案保护设备,True
修复设备,A02040300,图书档案保护设备,True
图书档案设备的零部件,A02040400,图书档案设备的零部件,True
其他图书档案设备,A02049900,其他图书档案设备,True
机械设备,C23129900,其他维修和保养服务,True
内燃机,A02050100,内燃机,True
柴油内燃机,A02050101,柴油内燃机,True
活塞式柴油内燃机,A02050101,柴油内燃机,True
压燃式柴油内燃机,A02050101,柴油内燃机,True
汽车用柴油内燃机,A02050101,柴油内燃机,True
汽油内燃机,A02050102,汽油内燃机,True
活塞式汽油内燃机,A02050102,汽油内燃机,True
压燃式汽油内燃机,A02050102,汽油内燃机,True
汽车用汽油内燃机,A02050102,汽油内燃机,True
气体燃料内燃机,A02050103,气体燃料内燃机,True
活塞式气体燃料内燃机,A02050103,气体燃料内燃机,True
压燃式气体燃料内燃机,A02050103,气体燃料内燃机,True
汽车用气体燃料内燃机,A02050103,气体燃料内燃机,True
其他内燃机,A02050199,其他内燃机,True
发电用燃气轮机,A02050200,燃气轮机,True
驱动用燃气轮机,A02050200,燃气轮机,True
燃气-蒸汽联合循环装置,A02050200,燃气轮机,True
航空衍生型燃气轮机,A02050200,燃气轮机,True
工业汽轮机,A02050300,汽轮机,True
地热利用汽轮机等，电站汽轮机纳入“电力工业设备”,A02050300,汽轮机,True
防腐保温工程,B05050000,防腐保温工程,True
工业锅炉,A02050401,工业锅炉,True
常压蒸汽锅炉,A02050401,工业锅炉,True
承压蒸汽锅炉,A02050401,工业锅炉,True
高温热水锅炉,A02050401,工业锅炉,True
工业用热水锅炉,A02050401,工业锅炉,True
余热锅炉,A02050401,工业锅炉,True
民用锅炉,A02050402,民用锅炉,True
其他锅炉,A02050499,其他锅炉,True
轴流式水轮机,A02050500,水轮机,True
混流式水轮机,A02050500,水轮机,True
水斗式水轮机,A02050500,水轮机,True
贯流式水轮机,A02050500,水轮机,True
斜流式水轮机,A02050500,水轮机,True
双击式水轮机,A02050500,水轮机,True
斜击式水轮机,A02050500,水轮机,True
特殊水轮机,A02050500,水轮机,True
水轮机,A02050500,水轮机,True
水平轴风力机,A02050600,风力机,True
垂直轴风力机,A02050600,风力机,True
斜轴风力机,A02050600,风力机,True
潮汐动力机械,A02050700,潮汐动力机械,True
液压机械,A02050800,液压机械,True
液压缸,A02050801,液压缸,True
单作用液压缸,A02050801,液压缸,True
双作用液压缸,A02050801,液压缸,True
液压泵,A02050802,液压泵,True
液压阀,A02050803,液压阀,True
溢流阀,A02050803,液压阀,True
分流阀,A02050803,液压阀,True
集流阀,A02050803,液压阀,True
液压节流阀,A02050803,液压阀,True
液压截止阀,A02050803,液压阀,True
液压减压阀,A02050803,液压阀,True
卸荷阀,A02050803,液压阀,True
顺序阀,A02050803,液压阀,True
平衡阀,A02050803,液压阀,True
调速阀,A02050803,液压阀,True
电液伺服阀,A02050803,液压阀,True
单向阀,A02050803,液压阀,True
换向阀,A02050803,液压阀,True
液压马达,A02050804,液压马达,True
齿轮马达,A02050804,液压马达,True
摆线马达,A02050804,液压马达,True
叶片马达,A02050804,液压马达,True
螺杆马达,A02050804,液压马达,True
柱塞马达,A02050804,液压马达,True
球塞马达,A02050804,液压马达,True
内曲线马达,A02050804,液压马达,True
摆动马达,A02050804,液压马达,True
液压管件,A02050805,液压管件,True
液力变矩器,A02050806,液力变矩器,True
液压元件,A02050807,液压元件,True
其他液压机械,A02050899,其他液压机械,True
金属加工设备,A02050900,金属加工设备,True
金属切削机床,A02050901,金属切削机床,True
数控车床,A02050901,金属切削机床,True
非数控车床,A02050901,金属切削机床,True
锻压机械设备,A02050902,锻压机械设备,True
机械压力机,A02050902,锻压机械设备,True
液压机,A02050902,锻压机械设备,True
自动锻压机,A02050902,锻压机械设备,True
铸造设备,A02050903,铸造设备,True
剪切机,A02050903,铸造设备,True
弯曲校正机,A02050903,铸造设备,True
锻造操作机,A02050903,铸造设备,True
增材制造设备,A02050904,增材制造设备,True
金属增材制造装备,A02050904,增材制造设备,True
非金属增材制造装备,A02050904,增材制造设备,True
工业机械手,A02050905,工业机械手,True
气动机械手,A02050905,工业机械手,True
液压机械手,A02050905,工业机械手,True
电动机械手,A02050905,工业机械手,True
工业机器人,A02050906,工业机器人,True
焊接机器人,A02050906,工业机器人,True
冲压机器人,A02050906,工业机器人,True
铸锻机器人,A02050906,工业机器人,True
喷涂机器人,A02050906,工业机器人,True
搬运机器人,A02050906,工业机器人,True
装配机器人,A02050906,工业机器人,True
多功能工业机器人,A02050906,工业机器人,True
热处理设备,A02050907,热处理设备,True
